Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km)
ACURA,ILX,COMPACT,2,4,AS5,Z,9.9,6.7,8.5
ACURA,ILX,COMPACT,2.4,4,M6,Z,11.2,7.7,9.6
ACURA,ILX HYBRID,COMPACT,1.5,4,AV7,Z,6,5.8,5.9
ACURA,MDX 4WD,SUV - SMALL,3.5,6,AS6,Z,12.7,9.1,11.1
ACURA,RDX AWD,SUV - SMALL,3.5,6,AS6,Z,12.1,8.7,10.6
ACURA,RLX,MID-SIZE,3.5,6,AS6,Z,11.9,7.7,10
ACURA,TL,MID-SIZE,3.5,6,AS6,Z,11.8,8.1,10.1
ACURA,TL AWD,MID-SIZE,3.7,6,AS6,Z,12.8,9,11.1
ACURA,TL AWD,MID-SIZE,3.7,6,M6,Z,13.4,9.5,11.6
ACURA,TSX,COMPACT,2.4,4,AS5,Z,10.6,7.5,9.2
ACURA,TSX,COMPACT,2.4,4,M6,Z,11.2,8.1,9.8
ACURA,TSX,COMPACT,3.5,6,AS5,Z,12.1,8.3,10.4
ALFA ROMEO,4C,TWO-SEATER,1.8,4,AM6,Z,9.7,6.9,8.4
ASTON MARTIN,DB9,MINICOMPACT,5.9,12,A6,Z,18,12.6,15.6
ASTON MARTIN,RAPIDE,SUBCOMPACT,5.9,12,A6,Z,18,12.6,15.6
ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,AM7,Z,17.4,11.3,14.7
ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,M6,Z,18.1,12.2,15.4
ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,AM7,Z,17.4,11.3,14.7
ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,M6,Z,18.1,12.2,15.4
ASTON MARTIN,VANQUISH,MINICOMPACT,5.9,12,A6,Z,18,12.6,15.6
AUDI,A4,COMPACT,2,4,AV8,Z,9.9,7.4,8.8
AUDI,A4 QUATTRO,COMPACT,2,4,AS8,Z,11.5,8.1,10
AUDI,A4 QUATTRO,COMPACT,2,4,M6,Z,10.8,7.5,9.3
AUDI,A5 CABRIOLET QUATTRO,SUBCOMPACT,2,4,AS8,Z,11.5,8.1,10
AUDI,A5 QUATTRO,SUBCOMPACT,2,4,AS8,Z,11.5,8.1,10
AUDI,A5 QUATTRO,SUBCOMPACT,2,4,M6,Z,10.8,7.5,9.3
AUDI,A6 QUATTRO,MID-SIZE,2,4,AS8,Z,12,8.1,10.2
AUDI,A6 QUATTRO,MID-SIZE,3,6,AS8,Z,12.8,8.6,10.9
AUDI,A6 QUATTRO TDI (modified),MID-SIZE,3,6,AS8,D,9.8,6.2,8.1
AUDI,A7 QUATTRO,MID-SIZE,3,6,AS8,Z,13.3,8.5,11.2
AUDI,A7 QUATTRO TDI (modified),MID-SIZE,3,6,AS8,D,9.8,6.2,8.1
AUDI,A8,MID-SIZE,3,6,AS8,Z,13.1,8.8,11.2
AUDI,A8,MID-SIZE,4,8,AS8,Z,13.7,8.3,11.3
AUDI,A8 TDI (modified),MID-SIZE,3,6,AS8,D,9.8,6.5,8.4
AUDI,A8L,FULL-SIZE,3,6,AS8,Z,13.1,8.8,11.2
AUDI,A8L,FULL-SIZE,4,8,AS8,Z,14.7,9.7,12.5
AUDI,A8L,FULL-SIZE,6.3,12,AS8,Z,18.7,11.5,15.5
AUDI,A8L TDI (modified),FULL-SIZE,3,6,AS8,D,9.8,6.5,8.4
AUDI,ALLROAD QUATTRO,STATION WAGON - SMALL,2,4,AS8,Z,11.8,8.8,10.5
AUDI,Q5,SUV - SMALL,2,4,AS8,Z,12,8.5,10.4
AUDI,Q5,SUV - SMALL,3,6,AS8,Z,12.9,9.2,11.2
AUDI,Q5 TDI (modified),SUV - SMALL,3,6,AS8,D,10.2,7.8,9
AUDI,Q5 HYBRID,SUV - SMALL,2,4,AS8,Z,9.9,8.3,9.2
AUDI,Q7,SUV - STANDARD,3,6,AS8,Z,15.1,10.9,13.2
AUDI,Q7 TDI (modified),SUV - STANDARD,3,6,AS8,D,12.4,8.7,10.7
AUDI,R8,TWO-SEATER,4.2,8,A7,Z,17.6,11,14.6
AUDI,R8,TWO-SEATER,4.2,8,M6,Z,21.2,13.4,17.7
AUDI,R8,TWO-SEATER,5.2,10,A7,Z,18.2,10.6,14.8
AUDI,R8,TWO-SEATER,5.2,10,M6,Z,21.1,13.8,17.8
AUDI,R8 SPYDER,TWO-SEATER,4.2,8,A7,Z,17.6,11,14.6
AUDI,R8 SPYDER,TWO-SEATER,4.2,8,M6,Z,21.2,13.4,17.7
AUDI,R8 SPYDER,TWO-SEATER,5.2,10,A7,Z,18.2,10.6,14.8
AUDI,R8 SPYDER,TWO-SEATER,5.2,10,M6,Z,21.1,13.8,17.8
AUDI,RS 5,SUBCOMPACT,4.2,8,A7,Z,15.3,10.9,13.3
AUDI,RS 5 CABRIOLET,SUBCOMPACT,4.2,8,A7,Z,15.2,11.3,13.4
AUDI,RS 7,MID-SIZE,4,8,AS8,Z,15.5,8.8,12.5
AUDI,S4,COMPACT,3,6,A7,Z,13.2,9.2,11.4
AUDI,S4,COMPACT,3,6,M6,Z,14.6,9.8,12.4
AUDI,S5,SUBCOMPACT,3,6,A7,Z,13.2,9.2,11.4
AUDI,S5,SUBCOMPACT,3,6,M6,Z,14.6,9.8,12.4
AUDI,S5 CABRIOLET,SUBCOMPACT,3,6,A7,Z,13.3,9.5,11.6
AUDI,S6,MID-SIZE,4,8,A7,Z,14.2,9.7,12.2
AUDI,S7,MID-SIZE,4,8,A7,Z,14.2,9.7,12.2
AUDI,S8,MID-SIZE,4,8,AS8,Z,15.8,9.2,12.8
AUDI,SQ5,SUV - SMALL,3,6,AS8,Z,14.9,10.1,12.7
AUDI,TT COUPE QUATTRO,SUBCOMPACT,2,4,A6,Z,10.4,7.6,9.1
AUDI,TT ROADSTER QUATTRO,TWO-SEATER,2,4,A6,Z,10.4,7.6,9.1
AUDI,TTS COUPE QUATTRO,SUBCOMPACT,2,4,A6,Z,11.5,8.8,10.3
AUDI,TTS ROADSTER QUATTRO,TWO-SEATER,2,4,A6,Z,11.5,8.8,10.3
BENTLEY,CONTINENTAL GT,SUBCOMPACT,4,8,AS8,Z,16.3,9.8,13.4
BENTLEY,CONTINENTAL GT,SUBCOMPACT,6,12,AS8,Z,18.8,11.5,15.5
BENTLEY,CONTINENTAL GTC,SUBCOMPACT,4,8,AS8,Z,17.4,10.2,14.2
BENTLEY,CONTINENTAL GTC,SUBCOMPACT,6,12,AS8,Z,20,12.2,16.5
BENTLEY,CONTINENTAL GT SPEED CONVERTIBLE,SUBCOMPACT,6,12,AS8,Z,20,12.2,16.5
BENTLEY,FLYING SPUR,MID-SIZE,6,12,AS8,Z,20.3,11.9,16.5
BENTLEY,MULSANNE,MID-SIZE,6.8,8,AS8,Z,22.3,14.9,19
BMW,320i,COMPACT,2,4,A8,Z,10,6.5,8.4
BMW,320i,COMPACT,2,4,M6,Z,10.4,6.7,8.7
BMW,320i xDRIVE,COMPACT,2,4,A8,Z,10.2,7,8.8
BMW,328d xDRIVE,COMPACT,2,4,A8,D,7.6,5.5,6.7
BMW,328d xDRIVE TOURING,STATION WAGON - SMALL,2,4,A8,D,7.6,5.5,6.7
BMW,328i,COMPACT,2,4,A8,Z,10,6.5,8.4
BMW,328i,COMPACT,2,4,M6,Z,10.4,6.7,8.7
BMW,328i xDRIVE,COMPACT,2,4,A8,Z,10.6,7.2,9.1
BMW,328i xDRIVE GRAN TURISMO,FULL-SIZE,2,4,A8,Z,10.6,7.2,9.1
BMW,328i xDRIVE TOURING,STATION WAGON - SMALL,2,4,A8,Z,10.6,7.2,9.1
BMW,335i,COMPACT,3,6,A8,Z,11.4,7.3,9.6
BMW,335i,COMPACT,3,6,M6,Z,11.8,7.9,10
BMW,335i xDRIVE,COMPACT,3,6,A8,Z,11.7,7.8,9.9
BMW,335i xDRIVE,COMPACT,3,6,M6,Z,11.9,8.3,10.3
BMW,335i xDRIVE GRAN TURISMO,FULL-SIZE,3,6,A8,Z,11.9,8,10.1
BMW,428i COUPE,COMPACT,2,4,A8,Z,10,6.5,8.4
BMW,428i COUPE,COMPACT,2,4,M6,Z,10.4,6.7,8.7
BMW,428i xDRIVE COUPE,COMPACT,2,4,A8,Z,10.6,7.2,9.1
